WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY
28-Jan-09,367,1111009477,7,7,7,9.52,1.36,1.36,0,0,0
28-Jan-09,367,1111009497,19,14,14,26.22,1.38,1.38,0,0,0
28-Jan-09,367,1111009507,11,10,10,15.18,1.38,1.38,0,0,0
28-Jan-09,367,1111035398,1,1,1,3.5,3.5,4.49,0,0,1
28-Jan-09,367,1111038080,5,5,5,4.8,0.96,2.59,0,0,1
28-Jan-09,367,1111085319,18,17,16,33.66,1.87,1.87,0,0,0
28-Jan-09,367,1111085345,12,10,9,22.68,1.89,1.89,0,0,0
28-Jan-09,367,1111085350,30,21,20,60.3,2.01,2.01,0,0,0
28-Jan-09,367,1111087395,28,25,24,92.96,3.32,3.94,1,1,0
28-Jan-09,367,1111087396,32,26,26,104.64,3.27,4,1,1,0
28-Jan-09,367,1111087398,37,28,27,122.47,3.31,4,1,1,0
28-Jan-09,367,1600027527,9,9,9,28.71,3.19,3.19,0,0,0
28-Jan-09,367,1600027528,27,21,7,123.93,4.59,4.59,0,0,0
28-Jan-09,367,1600027564,20,20,15,63.8,3.19,3.19,0,0,0
28-Jan-09,367,2840004768,2,2,2,5.4,2.7,2.7,0,0,0
28-Jan-09,367,3000006340,3,3,2,8.22,2.74,2.74,0,0,0
28-Jan-09,367,3000006560,25,26,25,64.75,2.59,2.59,0,0,0
28-Jan-09,367,3000006610,12,14,13,31.08,2.59,2.59,0,0,0
28-Jan-09,367,3700019521,4,2,2,10,2.5,2.5,0,0,0
28-Jan-09,367,3700031613,1,1,1,4.69,4.69,4.69,0,0,0
28-Jan-09,367,3700044982,2,2,2,10,5,5,0,0,0
28-Jan-09,367,3800031829,23,19,8,72.22,3.14,3.14,0,0,0
28-Jan-09,367,3800031838,20,18,18,59.2,2.96,2.96,0,0,0
28-Jan-09,367,3800039118,10,10,10,32.9,3.29,3.29,0,0,0
28-Jan-09,367,4116709428,2,2,2,7.98,3.99,4.59,0,0,1
28-Jan-09,367,4116709448,2,2,2,7.98,3.99,4.59,0,0,1
28-Jan-09,367,7027316204,11,6,6,16.5,1.5,1.5,0,0,0
28-Jan-09,367,7027316404,7,4,4,13.16,1.88,1.88,0,0,0
28-Jan-09,367,7192100336,6,5,5,37.74,6.29,6.29,0,0,0
28-Jan-09,367,7192100337,6,5,5,37.74,6.29,6.29,0,0,0
28-Jan-09,367,7192100339,5,5,5,31.45,6.29,6.29,0,0,0
28-Jan-09,367,7218063979,2,2,2,12.92,6.46,6.46,0,0,0
28-Jan-09,367,7797508006,4,4,4,10,2.5,2.89,0,0,1
28-Jan-09,367,31254742725,3,3,3,11.97,3.99,3.99,0,0,0
28-Jan-09,367,31254742735,4,4,4,19.96,4.99,4.99,0,0,0
28-Jan-09,387,1111009477,107,93,93,148.73,1.39,1.39,0,0,0
28-Jan-09,387,1111009497,119,113,110,165.41,1.39,1.39,0,1,0
28-Jan-09,387,1111009507,30,24,23,41.7,1.39,1.39,0,0,0
28-Jan-09,387,1111035398,2,2,2,7,3.5,4.49,0,0,1
28-Jan-09,387,1111038078,12,10,10,12,1,2.54,0,0,1
28-Jan-09,387,1111038080,24,15,15,24,1,2.55,0,0,1
28-Jan-09,387,1111085319,31,30,30,58.28,1.88,1.88,0,0,0
28-Jan-09,387,1111085345,38,34,34,71.82,1.89,1.89,0,0,0
28-Jan-09,387,1111085350,65,54,53,130,2,2,0,0,0
28-Jan-09,387,1111087395,21,20,20,69.09,3.29,3.91,1,0,0
28-Jan-09,387,1111087396,17,13,13,56.44,3.32,4,1,0,0
28-Jan-09,387,1111087398,27,24,24,89.37,3.31,3.97,1,1,0
28-Jan-09,387,1600027527,57,56,55,181.26,3.18,3.18,0,0,0
28-Jan-09,387,1600027528,43,41,41,197.37,4.59,4.59,0,0,0
28-Jan-09,387,1600027564,38,36,36,121.22,3.19,3.19,0,0,0
28-Jan-09,387,2840002333,10,9,9,25,2.5,2.89,0,0,1
28-Jan-09,387,2840004768,13,12,11,32.5,2.5,2.89,0,0,1
28-Jan-09,387,2840004770,9,9,9,22.5,2.5,2.89,0,0,1
28-Jan-09,387,3000006340,35,25,25,96.6,2.76,2.76,0,0,0
28-Jan-09,387,3000006560,26,24,23,67.34,2.59,2.59,0,0,0
28-Jan-09,387,3000006610,42,32,32,108.78,2.59,2.54,0,1,0
28-Jan-09,387,3700019521,1,1,1,2.5,2.5,3.49,0,0,1
28-Jan-09,387,3700031613,2,2,2,9.38,4.69,4.69,0,0,0
28-Jan-09,387,3800031829,47,42,40,143.82,3.06,3.06,0,0,0
28-Jan-09,387,3800031838,34,33,33,100.64,2.96,2.96,0,0,0
28-Jan-09,387,3800039118,22,21,21,65.78,2.99,2.99,0,0,0
28-Jan-09,387,4116709448,2,2,2,7.98,3.99,4.59,0,0,1
28-Jan-09,387,7027312504,11,7,6,19.69,1.79,2.19,0,0,1
28-Jan-09,387,7027316204,23,15,15,42.78,1.86,1.86,0,0,0
28-Jan-09,387,7027316404,29,19,19,42.63,1.47,1.94,0,0,1
