WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY
21-Jan-09,367,1111009477,24,23,23,33.36,1.39,1.57,0,0,1
21-Jan-09,367,1111009497,9,9,9,12.33,1.37,1.37,0,0,0
21-Jan-09,367,1111009507,11,11,11,15.29,1.39,1.39,0,0,0
21-Jan-09,367,1111038078,2,2,2,2,1,2.5,1,0,0
21-Jan-09,367,1111038080,19,17,17,18.62,0.98,2.59,1,0,0
21-Jan-09,367,1111085319,12,12,12,22.68,1.89,1.89,0,0,0
21-Jan-09,367,1111085345,20,19,17,37.4,1.87,1.87,0,0,0
21-Jan-09,367,1111085350,33,25,25,66,2,2,0,0,0
21-Jan-09,367,1111087395,31,25,25,103.23,3.33,3.94,0,0,1
21-Jan-09,367,1111087396,59,40,40,195.88,3.32,4,0,1,0
21-Jan-09,367,1111087398,37,29,29,122.84,3.32,4,0,1,0
21-Jan-09,367,1600027527,7,7,7,22.33,3.19,3.19,0,0,0
21-Jan-09,367,1600027528,24,19,11,110.16,4.59,4.59,0,0,0
21-Jan-09,367,1600027564,36,23,23,96.48,2.68,3.07,0,0,1
21-Jan-09,367,2840004768,3,3,3,8.67,2.89,2.89,0,0,0
21-Jan-09,367,3000006340,9,8,7,23.22,2.58,2.58,0,0,0
21-Jan-09,367,3000006560,27,26,26,69.93,2.59,2.59,0,0,0
21-Jan-09,367,3000006610,16,16,16,40.8,2.55,2.55,0,0,0
21-Jan-09,367,3700019521,2,2,2,5,2.5,2.5,0,0,0
21-Jan-09,367,3800031829,17,13,6,53.38,3.14,3.14,0,0,0
21-Jan-09,367,3800031838,17,17,17,50.32,2.96,2.96,0,0,0
21-Jan-09,367,3800039118,63,62,62,168.21,2.67,3.29,1,1,0
21-Jan-09,367,7027316204,9,7,7,16.47,1.83,3.29,0,0,1
21-Jan-09,367,7027316404,9,7,7,16.47,1.83,1.83,0,0,0
21-Jan-09,367,7192100336,2,2,2,11.98,5.99,6.29,1,0,0
21-Jan-09,367,7192100337,9,8,8,53.91,5.99,6.29,1,0,0
21-Jan-09,367,7192100339,16,13,13,95.84,5.99,6.29,1,1,0
21-Jan-09,367,7218063052,1,1,1,6.46,6.46,6.46,0,0,0
21-Jan-09,367,7218063979,3,3,3,19.38,6.46,6.46,0,0,0
21-Jan-09,367,7218063983,1,1,1,6.46,6.46,6.46,0,0,0
21-Jan-09,367,7797508004,1,1,1,2.5,2.5,2.89,0,0,1
21-Jan-09,367,7797508006,2,2,2,5,2.5,2.89,0,0,1
21-Jan-09,367,31254742725,3,3,3,11.97,3.99,3.99,0,0,0
21-Jan-09,367,31254742735,2,2,2,9.98,4.99,4.99,0,0,0
21-Jan-09,367,31254742835,1,1,1,4.99,4.99,4.99,0,0,0
21-Jan-09,387,1111009477,87,76,76,120.06,1.38,1.38,0,0,0
21-Jan-09,387,1111009497,100,95,94,139,1.39,1.39,0,1,0
21-Jan-09,387,1111009507,31,27,27,43.09,1.39,1.39,0,0,0
21-Jan-09,387,1111035398,8,7,7,28,3.5,4.49,0,0,1
21-Jan-09,387,1111038078,11,10,10,11,1,2.54,1,0,0
21-Jan-09,387,1111038080,22,16,15,22,1,2.55,1,0,0
21-Jan-09,387,1111085319,15,14,14,28.35,1.89,1.89,0,0,0
21-Jan-09,387,1111085345,32,28,27,60.48,1.89,1.89,0,0,0
21-Jan-09,387,1111085350,80,61,59,159.2,1.99,1.99,0,0,0
21-Jan-09,387,1111087395,23,21,21,76.82,3.34,3.91,0,0,1
21-Jan-09,387,1111087396,30,25,25,99,3.3,4,0,0,1
21-Jan-09,387,1111087398,26,20,20,83.2,3.2,3.97,0,0,1
21-Jan-09,387,1600027527,42,39,39,131.46,3.13,3.13,0,0,0
21-Jan-09,387,1600027528,34,33,32,156.06,4.59,4.59,0,0,0
21-Jan-09,387,1600027564,60,56,55,160.2,2.67,2.67,0,0,0
21-Jan-09,387,2840002333,12,8,7,34.68,2.89,2.89,0,0,0
21-Jan-09,387,2840004768,12,11,11,34.68,2.89,2.89,0,0,0
21-Jan-09,387,2840004770,7,7,7,20.23,2.89,2.89,0,0,0
21-Jan-09,387,3000006340,12,12,12,35.64,2.97,2.97,0,0,0
21-Jan-09,387,3000006560,23,22,22,59.57,2.59,2.59,0,0,0
21-Jan-09,387,3000006610,24,22,22,60.96,2.54,2.54,0,0,0
21-Jan-09,387,3700019521,11,9,9,27.5,2.5,3.49,0,0,1
21-Jan-09,387,3700044982,5,5,5,25,5,5,0,0,0
21-Jan-09,387,3800031829,32,32,31,98.88,3.09,3.09,0,0,0
21-Jan-09,387,3800031838,21,21,21,62.16,2.96,2.96,0,0,0
21-Jan-09,387,3800039118,33,29,29,88.44,2.68,2.99,1,1,0
21-Jan-09,387,4116709428,4,4,4,15.96,3.99,4.59,0,0,1
21-Jan-09,387,4116709448,1,1,1,3.99,3.99,4.59,0,0,1
21-Jan-09,387,7027312504,3,2,2,6.57,2.19,2.19,0,0,0
21-Jan-09,387,7027316204,27,17,17,52.65,1.95,1.95,0,0,0
21-Jan-09,387,7027316404,19,12,12,26.41,1.39,1.94,0,0,1
21-Jan-09,387,7110410455,16,13,12,40,2.5,2.5,0,0,0
21-Jan-09,387,7110410470,12,12,12,30.24,2.52,2.52,0,0,0
21-Jan-09,387,7110410471,3,3,3,7.5,2.5,2.79,0,0,1
21-Jan-09,387,7192100336,12,12,12,71.88,5.99,6.42,1,0,0
21-Jan-09,387,7192100337,37,35,34,223.11,6.03,6.37,1,0,0
21-Jan-09,387,7192100339,34,28,26,203.66,5.99,6.29,1,0,0
21-Jan-09,387,7218063052,6,5,5,38.76,6.46,6.46,0,0,0
21-Jan-09,387,7218063979,2,2,2,12.92,6.46,6.46,0,0,0
21-Jan-09,387,7797502248,13,10,9,32.37,2.49,2.49,0,0,0
21-Jan-09,387,7797508004,43,38,37,107.5,2.5,2.89,0,0,1
21-Jan-09,387,7797508006,14,14,14,35,2.5,2.89,0,0,1
21-Jan-09,387,31254742725,7,7,7,27.93,3.99,3.99,0,0,0
21-Jan-09,387,31254742735,4,4,4,19.96,4.99,4.99,0,0,0
21-Jan-09,387,31254742835,6,6,6,29.94,4.99,4.99,0,0,0
21-Jan-09,389,1111009477,78,67,67,107.64,1.38,1.38,0,0,0
21-Jan-09,389,1111009497,74,66,66,102.12,1.38,1.38,0,0,0
21-Jan-09,389,1111009507,24,20,20,33.12,1.38,1.38,0,0,0
21-Jan-09,389,1111035398,2,2,2,6.66,3.33,4.49,0,0,1
21-Jan-09,389,1111038078,28,23,23,27.44,0.98,2.59,1,1,0
21-Jan-09,389,1111038080,39,31,31,38.22,0.98,2.59,1,1,0
21-Jan-09,389,1111085319,55,51,50,102.85,1.87,1.87,0,0,0
21-Jan-09,389,1111085345,51,47,46,95.37,1.87,1.87,0,0,0
21-Jan-09,389,1111085350,102,82,80,200.94,1.97,1.97,0,0,0
21-Jan-09,389,1111087395,17,16,16,56.44,3.32,3.32,0,0,0
21-Jan-09,389,1111087396,39,27,27,128.7,3.3,3.9,0,1,0
21-Jan-09,389,1111087398,28,24,24,92.4,3.3,3.93,0,0,1
21-Jan-09,389,1600027527,62,59,58,197.78,3.19,3.19,0,0,0
21-Jan-09,389,1600027528,24,22,17,110.16,4.59,4.59,0,0,0
21-Jan-09,389,1600027564,90,85,83,243,2.7,2.7,0,0,0
21-Jan-09,389,2840002333,18,16,15,52.02,2.89,2.89,0,0,0
21-Jan-09,389,2840004768,26,25,25,75.14,2.89,2.89,0,0,0
21-Jan-09,389,2840004770,4,4,4,11.56,2.89,2.89,0,0,0
21-Jan-09,389,3000006340,12,11,11,33.24,2.77,2.77,0,0,0
21-Jan-09,389,3000006560,36,35,35,93.24,2.59,2.59,0,0,0
21-Jan-09,389,3000006610,20,20,20,51.8,2.59,2.59,0,0,0
21-Jan-09,389,3700019521,21,18,18,52.5,2.5,3.49,0,0,1
21-Jan-09,389,3700031613,2,2,2,9.38,4.69,4.69,0,1,0
21-Jan-09,389,3800031829,34,32,27,118.66,3.49,3.49,0,0,0
21-Jan-09,389,3800031838,64,63,60,191.36,2.99,2.99,0,0,0
21-Jan-09,389,3800039118,65,59,58,174.2,2.68,3.38,1,0,0
21-Jan-09,389,4116709428,2,2,2,7.98,3.99,4.59,0,0,1
21-Jan-09,389,4116709448,2,2,2,7.98,3.99,4.59,0,0,1
21-Jan-09,389,4116709565,3,3,3,10.47,3.49,4.99,0,0,1
21-Jan-09,389,7027312504,29,19,19,55.97,1.93,2.25,0,0,1
21-Jan-09,389,7027316204,71,43,43,121.41,1.71,1.71,0,0,0
21-Jan-09,389,7027316404,52,36,35,85.8,1.65,1.85,0,0,1
21-Jan-09,389,7110410455,4,4,4,10,2.5,2.79,0,0,1
21-Jan-09,389,7110410470,2,2,2,5,2.5,2.79,0,0,1
21-Jan-09,389,7110410471,1,1,1,2.5,2.5,2.5,0,0,0
21-Jan-09,389,7192100336,16,15,15,95.84,5.99,6.29,1,0,0
21-Jan-09,389,7192100337,15,13,13,89.85,5.99,6.29,1,1,0
21-Jan-09,389,7192100339,38,35,35,229.14,6.03,6.43,1,0,0
21-Jan-09,389,7218063052,9,9,9,58.14,6.46,6.46,0,0,0
21-Jan-09,389,7218063979,5,4,4,32.3,6.46,6.46,0,0,0
21-Jan-09,389,7218063983,3,3,3,19.38,6.46,6.46,0,0,0
21-Jan-09,389,7797502248,12,8,7,29.88,2.49,2.49,0,0,0
21-Jan-09,389,7797508004,38,35,34,95.38,2.51,2.89,0,1,0
21-Jan-09,389,7797508006,21,21,21,52.5,2.5,2.89,0,1,0
21-Jan-09,389,31254742735,3,3,3,14.97,4.99,4.99,0,0,0
21-Jan-09,389,31254742835,4,4,4,19.96,4.99,4.99,0,0,0
21-Jan-09,613,1111009477,114,93,92,112.86,0.99,1.23,1,1,0
21-Jan-09,613,1111009497,101,91,90,99.99,0.99,1.24,1,1,0
21-Jan-09,613,1111009507,31,26,26,30.69,0.99,1.2,1,1,0
21-Jan-09,613,1111035398,1,1,1,4.69,4.69,4.69,0,0,0
21-Jan-09,613,1111038078,12,9,9,11.64,0.97,2.54,1,1,0
21-Jan-09,613,1111038080,12,11,11,13.44,1.12,2.46,1,1,0
21-Jan-09,613,1111085319,24,22,22,43.92,1.83,1.83,0,0,0
21-Jan-09,613,1111085345,23,17,16,43.47,1.89,1.89,0,0,0
21-Jan-09,613,1111085350,30,25,25,58.2,1.94,2.31,0,0,1
21-Jan-09,613,1111087395,16,14,13,52.64,3.29,3.29,0,0,0
21-Jan-09,613,1111087396,30,23,19,98.7,3.29,3.29,0,0,0
21-Jan-09,613,1111087398,17,12,11,56.1,3.3,3.3,0,0,0
21-Jan-09,613,1600027527,39,35,35,124.41,3.19,3.19,0,0,0
21-Jan-09,613,1600027528,27,24,24,106.92,3.96,3.96,0,0,0
21-Jan-09,613,1600027564,61,54,53,162.87,2.67,2.96,1,1,0
21-Jan-09,613,2840002333,10,10,8,24.9,2.49,2.49,0,0,0
21-Jan-09,613,2840004768,17,17,17,42.33,2.49,2.49,0,0,0
21-Jan-09,613,2840004770,26,26,25,64.74,2.49,2.49,0,0,0
21-Jan-09,613,3000006340,14,13,13,40.88,2.92,2.92,0,0,0
21-Jan-09,613,3000006560,35,33,33,89.95,2.57,2.57,0,0,0
21-Jan-09,613,3000006610,15,14,14,38.85,2.59,2.59,0,0,0
21-Jan-09,613,3700019521,11,10,10,27.5,2.5,3,0,1,0
21-Jan-09,613,3700031613,7,6,6,27.93,3.99,3.99,0,0,0
21-Jan-09,613,3700044982,1,1,1,4.5,4.5,4.5,0,1,0
21-Jan-09,613,3800031829,21,20,20,70.98,3.38,3.38,0,0,0
21-Jan-09,613,3800031838,20,20,20,59.8,2.99,2.99,0,0,0
21-Jan-09,613,3800039118,33,32,31,88.77,2.69,2.99,1,0,0
21-Jan-09,613,4116709428,1,1,1,4.99,4.99,4.99,0,0,0
21-Jan-09,613,4116709448,1,1,1,4.99,4.99,4.99,0,0,0
21-Jan-09,613,4116709565,2,2,2,9.98,4.99,4.99,0,0,0
21-Jan-09,613,7192100336,8,8,8,47.92,5.99,6.29,1,1,0
21-Jan-09,613,7192100337,16,16,16,95.84,5.99,6.3,1,0,0
21-Jan-09,613,7192100339,20,18,18,119.8,5.99,6.29,1,0,0
21-Jan-09,613,7218063052,10,9,9,67.9,6.79,6.79,0,0,0
21-Jan-09,613,7218063979,1,1,1,6.79,6.79,6.79,0,0,0
21-Jan-09,613,7218063983,4,4,4,27.16,6.79,6.79,0,0,0
21-Jan-09,613,7797502248,12,7,7,28.68,2.39,2.39,0,0,0
21-Jan-09,613,7797508004,6,6,6,15,2.5,2.89,0,0,1
21-Jan-09,613,7797508006,30,28,27,75,2.5,2.81,0,0,1
21-Jan-09,613,31254742725,3,3,3,13.77,4.59,4.59,0,0,0
21-Jan-09,613,31254742735,6,6,6,31.14,5.19,5.19,0,0,0
21-Jan-09,613,31254742835,2,2,2,10.38,5.19,5.19,0,0,0
21-Jan-09,623,1111009477,40,28,27,40.8,1.02,1.16,1,1,0
21-Jan-09,623,1111009497,42,39,38,40.74,0.97,1.18,1,0,0
21-Jan-09,623,1111009507,41,36,34,39.77,0.97,1.17,1,1,0
21-Jan-09,623,1111035398,1,1,1,4.69,4.69,4.69,0,0,0
21-Jan-09,623,1111038078,8,7,7,8,1,2.59,1,0,0
21-Jan-09,623,1111038080,14,10,10,13.86,0.99,2.56,1,0,0
21-Jan-09,623,1111085319,9,8,7,15.84,1.76,1.76,0,0,0
21-Jan-09,623,1111085345,18,16,16,33.66,1.87,1.87,0,0,0
21-Jan-09,623,1111085350,25,20,20,47.5,1.9,2.34,0,0,1
21-Jan-09,623,1111087395,5,5,5,16.7,3.34,3.34,0,0,0
21-Jan-09,623,1111087396,8,6,6,25.68,3.21,3.21,0,0,0
21-Jan-09,623,1111087398,6,5,5,20.04,3.34,3.34,0,0,0
21-Jan-09,623,1600027527,34,34,33,108.46,3.19,3.19,0,0,0
21-Jan-09,623,1600027528,21,20,19,86.52,4.12,4.12,0,0,0
21-Jan-09,623,1600027564,24,20,20,64.08,2.67,3.04,1,0,0
21-Jan-09,623,2840002333,4,4,4,9.96,2.49,2.49,0,0,0
21-Jan-09,623,2840004768,14,14,14,34.86,2.49,2.49,0,0,0
21-Jan-09,623,2840004770,16,14,14,39.84,2.49,2.49,0,0,0
21-Jan-09,623,3000006340,10,10,10,27.1,2.71,2.71,0,0,0
21-Jan-09,623,3000006560,19,19,18,49.21,2.59,2.59,0,0,0
21-Jan-09,623,3000006610,16,16,16,41.44,2.59,2.59,0,0,0
21-Jan-09,623,3700019521,9,7,7,22.5,2.5,2.5,0,0,0
21-Jan-09,623,3700031613,3,3,3,11.97,3.99,6.59,0,0,1
21-Jan-09,623,3700044982,7,4,4,31.5,4.5,4.5,0,0,0
21-Jan-09,623,3800031829,15,13,13,43.2,2.88,2.88,0,0,0
21-Jan-09,623,3800031838,29,29,28,83.81,2.89,2.89,0,0,0
21-Jan-09,623,3800039118,35,34,34,93.45,2.67,2.98,1,0,0
21-Jan-09,623,4116709428,1,1,1,4.99,4.99,4.99,0,0,0
21-Jan-09,623,4116709565,4,4,4,19.96,4.99,4.99,0,0,0
21-Jan-09,623,7192100336,17,13,12,101.83,5.99,6.29,1,0,0
21-Jan-09,623,7192100337,17,16,16,101.83,5.99,6.3,1,0,0
21-Jan-09,623,7192100339,9,9,9,54.27,6.03,6.29,1,0,0
21-Jan-09,623,7218063052,3,3,3,20.37,6.79,6.79,0,0,0
21-Jan-09,623,7218063979,5,5,5,33.95,6.79,6.79,0,0,0
21-Jan-09,623,7218063983,4,4,4,27.16,6.79,6.79,0,0,0
21-Jan-09,623,7797502248,2,2,2,4.78,2.39,2.39,0,0,0
21-Jan-09,623,7797508004,8,6,6,20,2.5,2.5,0,0,0
